Company,Sector,GRI_Code,GRI_Category,GRI_Topic,GRI_Description,Disclosed,Completeness_Pct
Apple Inc,Technology & Communications,GRI 416,Social,Customer Health & Safety,Assessment of health and safety impacts,True,66
Apple Inc,Technology & Communications,GRI 418,Social,Customer Privacy,Substantiated complaints on privacy breaches,False,0
Microsoft,Technology & Communications,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",True,72
Microsoft,Technology & Communications,GRI 3,Universal,Material Topics,Process for determining material topics,True,70
Microsoft,Technology & Communications,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,True,82
Microsoft,Technology & Communications,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,False,0
Microsoft,Technology & Communications,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,True,62
Microsoft,Technology & Communications,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,False,0
Microsoft,Technology & Communications,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,True,50
Microsoft,Technology & Communications,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,True,84
Microsoft,Technology & Communications,GRI 207,Economic,Tax,"Approach to tax, governance, control",True,97
Microsoft,Technology & Communications,GRI 301,Environmental,Materials,Materials used by weight or volume,True,62
Microsoft,Technology & Communications,GRI 302,Environmental,Energy,Energy consumption within organization,True,54
Microsoft,Technology & Communications,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,True,71
Microsoft,Technology & Communications,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,True,92
Microsoft,Technology & Communications,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),True,96
Microsoft,Technology & Communications,GRI 306,Environmental,Waste,Waste generated and disposal,True,82
Microsoft,Technology & Communications,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,True,76
Microsoft,Technology & Communications,GRI 401,Social,Employment,New employee hires and turnover,True,94
Microsoft,Technology & Communications,GRI 402,Social,Labor/Management Relations,Minimum notice periods for operational changes,False,0
Microsoft,Technology & Communications,GRI 403,Social,Occupational Health & Safety,Management system for health and safety,False,0
Microsoft,Technology & Communications,GRI 404,Social,Training & Education,Average hours of training per year,True,74
Microsoft,Technology & Communications,GRI 405,Social,Diversity & Equal Opportunity,Diversity of governance bodies,True,61
Microsoft,Technology & Communications,GRI 406,Social,Non-Discrimination,Incidents of discrimination,True,69
Microsoft,Technology & Communications,GRI 407,Social,Freedom of Association,Operations where rights may be at risk,True,50
Microsoft,Technology & Communications,GRI 408,Social,Child Labor,Operations at significant risk for child labor,True,63
Microsoft,Technology & Communications,GRI 409,Social,Forced Labor,Operations at risk for forced labor,True,87
Microsoft,Technology & Communications,GRI 413,Social,Local Communities,Operations with local community engagement,True,70
Microsoft,Technology & Communications,GRI 414,Social,Supplier Social Assessment,New suppliers screened on social criteria,True,78
Microsoft,Technology & Communications,GRI 415,Social,Public Policy,Political contributions,True,82
Microsoft,Technology & Communications,GRI 416,Social,Customer Health & Safety,Assessment of health and safety impacts,True,100
Microsoft,Technology & Communications,GRI 418,Social,Customer Privacy,Substantiated complaints on privacy breaches,True,92
Amazon,Services,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",False,0
Amazon,Services,GRI 3,Universal,Material Topics,Process for determining material topics,True,90
Amazon,Services,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,True,55
Amazon,Services,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,True,98
Amazon,Services,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,False,0
Amazon,Services,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,True,62
Amazon,Services,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,False,0
Amazon,Services,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,False,0
Amazon,Services,GRI 207,Economic,Tax,"Approach to tax, governance, control",True,89
Amazon,Services,GRI 301,Environmental,Materials,Materials used by weight or volume,True,54
Amazon,Services,GRI 302,Environmental,Energy,Energy consumption within organization,True,90
Amazon,Services,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,True,95
Amazon,Services,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,True,81
Amazon,Services,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),True,59
Amazon,Services,GRI 306,Environmental,Waste,Waste generated and disposal,True,50
Amazon,Services,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,True,99
Amazon,Services,GRI 401,Social,Employment,New employee hires and turnover,True,99
Amazon,Services,GRI 402,Social,Labor/Management Relations,Minimum notice periods for operational changes,True,61
Amazon,Services,GRI 403,Social,Occupational Health & Safety,Management system for health and safety,True,94
Amazon,Services,GRI 404,Social,Training & Education,Average hours of training per year,True,53
Amazon,Services,GRI 405,Social,Diversity & Equal Opportunity,Diversity of governance bodies,True,57
Amazon,Services,GRI 406,Social,Non-Discrimination,Incidents of discrimination,True,79
Amazon,Services,GRI 407,Social,Freedom of Association,Operations where rights may be at risk,True,85
Amazon,Services,GRI 408,Social,Child Labor,Operations at significant risk for child labor,True,98
Amazon,Services,GRI 409,Social,Forced Labor,Operations at risk for forced labor,True,89
Amazon,Services,GRI 413,Social,Local Communities,Operations with local community engagement,True,82
Amazon,Services,GRI 414,Social,Supplier Social Assessment,New suppliers screened on social criteria,True,85
Amazon,Services,GRI 415,Social,Public Policy,Political contributions,True,60
Amazon,Services,GRI 416,Social,Customer Health & Safety,Assessment of health and safety impacts,True,80
Amazon,Services,GRI 418,Social,Customer Privacy,Substantiated complaints on privacy breaches,True,98
Tesla,Transportation,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",False,0
Tesla,Transportation,GRI 3,Universal,Material Topics,Process for determining material topics,True,99
Tesla,Transportation,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,True,81
Tesla,Transportation,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,True,67
Tesla,Transportation,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,True,95
Tesla,Transportation,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,False,0
Tesla,Transportation,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,False,0
Tesla,Transportation,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,True,84
Tesla,Transportation,GRI 207,Economic,Tax,"Approach to tax, governance, control",False,0
Tesla,Transportation,GRI 301,Environmental,Materials,Materials used by weight or volume,False,0
Tesla,Transportation,GRI 302,Environmental,Energy,Energy consumption within organization,True,59
Tesla,Transportation,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,True,54
Tesla,Transportation,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,True,71
Tesla,Transportation,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),True,76
Tesla,Transportation,GRI 306,Environmental,Waste,Waste generated and disposal,False,0
Tesla,Transportation,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,True,74
Tesla,Transportation,GRI 401,Social,Employment,New employee hires and turnover,True,87
Tesla,Transportation,GRI 402,Social,Labor/Management Relations,Minimum notice periods for operational changes,True,51
Tesla,Transportation,GRI 403,Social,Occupational Health & Safety,Management system for health and safety,True,98
Tesla,Transportation,GRI 404,Social,Training & Education,Average hours of training per year,True,80
Tesla,Transportation,GRI 405,Social,Diversity & Equal Opportunity,Diversity of governance bodies,False,0
Tesla,Transportation,GRI 406,Social,Non-Discrimination,Incidents of discrimination,True,98
Tesla,Transportation,GRI 407,Social,Freedom of Association,Operations where rights may be at risk,True,76
Tesla,Transportation,GRI 408,Social,Child Labor,Operations at significant risk for child labor,True,97
Tesla,Transportation,GRI 409,Social,Forced Labor,Operations at risk for forced labor,True,88
Tesla,Transportation,GRI 413,Social,Local Communities,Operations with local community engagement,True,81
Tesla,Transportation,GRI 414,Social,Supplier Social Assessment,New suppliers screened on social criteria,False,0
Tesla,Transportation,GRI 415,Social,Public Policy,Political contributions,True,51
Tesla,Transportation,GRI 416,Social,Customer Health & Safety,Assessment of health and safety impacts,True,92
Tesla,Transportation,GRI 418,Social,Customer Privacy,Substantiated complaints on privacy breaches,True,75
ExxonMobil,Extractives & Minerals Processing,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",True,79
ExxonMobil,Extractives & Minerals Processing,GRI 3,Universal,Material Topics,Process for determining material topics,True,89
ExxonMobil,Extractives & Minerals Processing,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,True,75
ExxonMobil,Extractives & Minerals Processing,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,True,92
ExxonMobil,Extractives & Minerals Processing,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,False,0
ExxonMobil,Extractives & Minerals Processing,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,True,58
ExxonMobil,Extractives & Minerals Processing,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,True,61
ExxonMobil,Extractives & Minerals Processing,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,False,0
ExxonMobil,Extractives & Minerals Processing,GRI 207,Economic,Tax,"Approach to tax, governance, control",True,63
ExxonMobil,Extractives & Minerals Processing,GRI 301,Environmental,Materials,Materials used by weight or volume,True,71
ExxonMobil,Extractives & Minerals Processing,GRI 302,Environmental,Energy,Energy consumption within organization,True,74
ExxonMobil,Extractives & Minerals Processing,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,False,0
ExxonMobil,Extractives & Minerals Processing,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,True,76
ExxonMobil,Extractives & Minerals Processing,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),False,0
ExxonMobil,Extractives & Minerals Processing,GRI 306,Environmental,Waste,Waste generated and disposal,False,0
ExxonMobil,Extractives & Minerals Processing,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,False,0
ExxonMobil,Extractives & Minerals Processing,GRI 401,Social,Employment,New employee hires and turnover,True,72
ExxonMobil,Extractives & Minerals Processing,GRI 402,Social,Labor/Management Relations,Minimum notice periods for operational changes,False,0
ExxonMobil,Extractives & Minerals Processing,GRI 403,Social,Occupational Health & Safety,Management system for health and safety,False,0
ExxonMobil,Extractives & Minerals Processing,GRI 404,Social,Training & Education,Average hours of training per year,True,52
ExxonMobil,Extractives & Minerals Processing,GRI 405,Social,Diversity & Equal Opportunity,Diversity of governance bodies,True,65
ExxonMobil,Extractives & Minerals Processing,GRI 406,Social,Non-Discrimination,Incidents of discrimination,False,0
ExxonMobil,Extractives & Minerals Processing,GRI 407,Social,Freedom of Association,Operations where rights may be at risk,False,0
ExxonMobil,Extractives & Minerals Processing,GRI 408,Social,Child Labor,Operations at significant risk for child labor,False,0
ExxonMobil,Extractives & Minerals Processing,GRI 409,Social,Forced Labor,Operations at risk for forced labor,False,0
ExxonMobil,Extractives & Minerals Processing,GRI 413,Social,Local Communities,Operations with local community engagement,True,86
ExxonMobil,Extractives & Minerals Processing,GRI 414,Social,Supplier Social Assessment,New suppliers screened on social criteria,True,79
ExxonMobil,Extractives & Minerals Processing,GRI 415,Social,Public Policy,Political contributions,True,99
ExxonMobil,Extractives & Minerals Processing,GRI 416,Social,Customer Health & Safety,Assessment of health and safety impacts,True,88
ExxonMobil,Extractives & Minerals Processing,GRI 418,Social,Customer Privacy,Substantiated complaints on privacy breaches,True,97
BP,Extractives & Minerals Processing,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",True,99
BP,Extractives & Minerals Processing,GRI 3,Universal,Material Topics,Process for determining material topics,True,69
BP,Extractives & Minerals Processing,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,False,0
BP,Extractives & Minerals Processing,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,False,0
BP,Extractives & Minerals Processing,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,True,93
BP,Extractives & Minerals Processing,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,True,74
BP,Extractives & Minerals Processing,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,True,95
BP,Extractives & Minerals Processing,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,False,0
BP,Extractives & Minerals Processing,GRI 207,Economic,Tax,"Approach to tax, governance, control",True,90
BP,Extractives & Minerals Processing,GRI 301,Environmental,Materials,Materials used by weight or volume,False,0
BP,Extractives & Minerals Processing,GRI 302,Environmental,Energy,Energy consumption within organization,True,69
BP,Extractives & Minerals Processing,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,True,88
BP,Extractives & Minerals Processing,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,True,100
BP,Extractives & Minerals Processing,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),True,100
BP,Extractives & Minerals Processing,GRI 306,Environmental,Waste,Waste generated and disposal,False,0
BP,Extractives & Minerals Processing,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,True,92
BP,Extractives & Minerals Processing,GRI 401,Social,Employment,New employee hires and turnover,True,82
BP,Extractives & Minerals Processing,GRI 402,Social,Labor/Management Relations,Minimum notice periods for operational changes,True,50
BP,Extractives & Minerals Processing,GRI 403,Social,Occupational Health & Safety,Management system for health and safety,True,81
BP,Extractives & Minerals Processing,GRI 404,Social,Training & Education,Average hours of training per year,False,0
BP,Extractives & Minerals Processing,GRI 405,Social,Diversity & Equal Opportunity,Diversity of governance bodies,True,90
BP,Extractives & Minerals Processing,GRI 406,Social,Non-Discrimination,Incidents of discrimination,True,79
BP,Extractives & Minerals Processing,GRI 407,Social,Freedom of Association,Operations where rights may be at risk,True,77
BP,Extractives & Minerals Processing,GRI 408,Social,Child Labor,Operations at significant risk for child labor,False,0
BP,Extractives & Minerals Processing,GRI 409,Social,Forced Labor,Operations at risk for forced labor,True,91
BP,Extractives & Minerals Processing,GRI 413,Social,Local Communities,Operations with local community engagement,False,0
BP,Extractives & Minerals Processing,GRI 414,Social,Supplier Social Assessment,New suppliers screened on social criteria,True,84
BP,Extractives & Minerals Processing,GRI 415,Social,Public Policy,Political contributions,True,79
BP,Extractives & Minerals Processing,GRI 416,Social,Customer Health & Safety,Assessment of health and safety impacts,True,96
BP,Extractives & Minerals Processing,GRI 418,Social,Customer Privacy,Substantiated complaints on privacy breaches,True,70
Shell,Extractives & Minerals Processing,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",True,55
Shell,Extractives & Minerals Processing,GRI 3,Universal,Material Topics,Process for determining material topics,False,0
Shell,Extractives & Minerals Processing,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,True,98
Shell,Extractives & Minerals Processing,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,True,89
Shell,Extractives & Minerals Processing,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,True,71
Shell,Extractives & Minerals Processing,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,False,0
Shell,Extractives & Minerals Processing,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,True,61
Shell,Extractives & Minerals Processing,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,True,72
Shell,Extractives & Minerals Processing,GRI 207,Economic,Tax,"Approach to tax, governance, control",True,71
Shell,Extractives & Minerals Processing,GRI 301,Environmental,Materials,Materials used by weight or volume,False,0
Shell,Extractives & Minerals Processing,GRI 302,Environmental,Energy,Energy consumption within organization,True,67
Shell,Extractives & Minerals Processing,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,True,83
Shell,Extractives & Minerals Processing,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,True,55
Shell,Extractives & Minerals Processing,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),False,0
Shell,Extractives & Minerals Processing,GRI 306,Environmental,Waste,Waste generated and disposal,True,85
Shell,Extractives & Minerals Processing,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,True,94
Shell,Extractives & Minerals Processing,GRI 401,Social,Employment,New employee hires and turnover,True,95
Shell,Extractives & Minerals Processing,GRI 402,Social,Labor/Management Relations,Minimum notice periods for operational changes,True,100
Shell,Extractives & Minerals Processing,GRI 403,Social,Occupational Health & Safety,Management system for health and safety,False,0
Shell,Extractives & Minerals Processing,GRI 404,Social,Training & Education,Average hours of training per year,False,0
Shell,Extractives & Minerals Processing,GRI 405,Social,Diversity & Equal Opportunity,Diversity of governance bodies,True,65
Shell,Extractives & Minerals Processing,GRI 406,Social,Non-Discrimination,Incidents of discrimination,True,87
Shell,Extractives & Minerals Processing,GRI 407,Social,Freedom of Association,Operations where rights may be at risk,True,85
Shell,Extractives & Minerals Processing,GRI 408,Social,Child Labor,Operations at significant risk for child labor,True,77
Shell,Extractives & Minerals Processing,GRI 409,Social,Forced Labor,Operations at risk for forced labor,True,85
Shell,Extractives & Minerals Processing,GRI 413,Social,Local Communities,Operations with local community engagement,True,94
Shell,Extractives & Minerals Processing,GRI 414,Social,Supplier Social Assessment,New suppliers screened on social criteria,True,69
Shell,Extractives & Minerals Processing,GRI 415,Social,Public Policy,Political contributions,False,0
Shell,Extractives & Minerals Processing,GRI 416,Social,Customer Health & Safety,Assessment of health and safety impacts,False,0
Shell,Extractives & Minerals Processing,GRI 418,Social,Customer Privacy,Substantiated complaints on privacy breaches,False,0
Unilever,Consumer Goods,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",False,0
Unilever,Consumer Goods,GRI 3,Universal,Material Topics,Process for determining material topics,True,98
Unilever,Consumer Goods,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,True,62
Unilever,Consumer Goods,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,False,0
Unilever,Consumer Goods,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,True,96
Unilever,Consumer Goods,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,True,98
Unilever,Consumer Goods,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,True,68
Unilever,Consumer Goods,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,True,62
Unilever,Consumer Goods,GRI 207,Economic,Tax,"Approach to tax, governance, control",False,0
Unilever,Consumer Goods,GRI 301,Environmental,Materials,Materials used by weight or volume,True,69
Unilever,Consumer Goods,GRI 302,Environmental,Energy,Energy consumption within organization,False,0
Unilever,Consumer Goods,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,True,67
Unilever,Consumer Goods,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,False,0
Unilever,Consumer Goods,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),False,0
Unilever,Consumer Goods,GRI 306,Environmental,Waste,Waste generated and disposal,False,0
Unilever,Consumer Goods,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,True,90
Unilever,Consumer Goods,GRI 401,Social,Employment,New employee hires and turnover,True,81
Unilever,Consumer Goods,GRI 402,Social,Labor/Management Relations,Minimum notice periods for operational changes,False,0
Unilever,Consumer Goods,GRI 403,Social,Occupational Health & Safety,Management system for health and safety,False,0
Unilever,Consumer Goods,GRI 404,Social,Training & Education,Average hours of training per year,False,0
Unilever,Consumer Goods,GRI 405,Social,Diversity & Equal Opportunity,Diversity of governance bodies,True,71
Unilever,Consumer Goods,GRI 406,Social,Non-Discrimination,Incidents of discrimination,False,0
Unilever,Consumer Goods,GRI 407,Social,Freedom of Association,Operations where rights may be at risk,False,0
Unilever,Consumer Goods,GRI 408,Social,Child Labor,Operations at significant risk for child labor,True,80
Unilever,Consumer Goods,GRI 409,Social,Forced Labor,Operations at risk for forced labor,False,0
Unilever,Consumer Goods,GRI 413,Social,Local Communities,Operations with local community engagement,False,0
Unilever,Consumer Goods,GRI 414,Social,Supplier Social Assessment,New suppliers screened on social criteria,True,86
Unilever,Consumer Goods,GRI 415,Social,Public Policy,Political contributions,True,53
Unilever,Consumer Goods,GRI 416,Social,Customer Health & Safety,Assessment of health and safety impacts,False,0
Unilever,Consumer Goods,GRI 418,Social,Customer Privacy,Substantiated complaints on privacy breaches,True,69
Nestle,Food & Beverage,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",False,0
Nestle,Food & Beverage,GRI 3,Universal,Material Topics,Process for determining material topics,False,0
Nestle,Food & Beverage,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,True,76
Nestle,Food & Beverage,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,True,100
Nestle,Food & Beverage,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,True,99
Nestle,Food & Beverage,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,True,78
Nestle,Food & Beverage,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,True,69
Nestle,Food & Beverage,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,True,77
Nestle,Food & Beverage,GRI 207,Economic,Tax,"Approach to tax, governance, control",True,89
Nestle,Food & Beverage,GRI 301,Environmental,Materials,Materials used by weight or volume,False,0
Nestle,Food & Beverage,GRI 302,Environmental,Energy,Energy consumption within organization,True,56
Nestle,Food & Beverage,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,True,63
Nestle,Food & Beverage,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,True,66
Nestle,Food & Beverage,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),True,60
Nestle,Food & Beverage,GRI 306,Environmental,Waste,Waste generated and disposal,False,0
Nestle,Food & Beverage,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,True,60
Nestle,Food & Beverage,GRI 401,Social,Employment,New employee hires and turnover,False,0
Nestle,Food & Beverage,GRI 402,Social,Labor/Management Relations,Minimum notice periods for operational changes,True,88
Nestle,Food & Beverage,GRI 403,Social,Occupational Health & Safety,Management system for health and safety,True,52
Nestle,Food & Beverage,GRI 404,Social,Training & Education,Average hours of training per year,False,0
Nestle,Food & Beverage,GRI 405,Social,Diversity & Equal Opportunity,Diversity of governance bodies,True,94
Nestle,Food & Beverage,GRI 406,Social,Non-Discrimination,Incidents of discrimination,True,54
Nestle,Food & Beverage,GRI 407,Social,Freedom of Association,Operations where rights may be at risk,True,66
Nestle,Food & Beverage,GRI 408,Social,Child Labor,Operations at significant risk for child labor,True,90
Nestle,Food & Beverage,GRI 409,Social,Forced Labor,Operations at risk for forced labor,True,62
Nestle,Food & Beverage,GRI 413,Social,Local Communities,Operations with local community engagement,True,84
Nestle,Food & Beverage,GRI 414,Social,Supplier Social Assessment,New suppliers screened on social criteria,False,0
Nestle,Food & Beverage,GRI 415,Social,Public Policy,Political contributions,False,0
Nestle,Food & Beverage,GRI 416,Social,Customer Health & Safety,Assessment of health and safety impacts,False,0
Nestle,Food & Beverage,GRI 418,Social,Customer Privacy,Substantiated complaints on privacy breaches,False,0
Johnson & Johnson,Health Care,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",False,0
Johnson & Johnson,Health Care,GRI 3,Universal,Material Topics,Process for determining material topics,True,88
Johnson & Johnson,Health Care,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,True,86
Johnson & Johnson,Health Care,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,True,78
Johnson & Johnson,Health Care,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,False,0
Johnson & Johnson,Health Care,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,True,94
Johnson & Johnson,Health Care,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,True,67
Johnson & Johnson,Health Care,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,True,81
Johnson & Johnson,Health Care,GRI 207,Economic,Tax,"Approach to tax, governance, control",True,88
Johnson & Johnson,Health Care,GRI 301,Environmental,Materials,Materials used by weight or volume,False,0
Johnson & Johnson,Health Care,GRI 302,Environmental,Energy,Energy consumption within organization,True,70
Johnson & Johnson,Health Care,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,True,51
Johnson & Johnson,Health Care,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,False,0
Johnson & Johnson,Health Care,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),True,86
Johnson & Johnson,Health Care,GRI 306,Environmental,Waste,Waste generated and disposal,True,51
Johnson & Johnson,Health Care,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,True,93
Johnson & Johnson,Health Care,GRI 401,Social,Employment,New employee hires and turnover,True,86
Johnson & Johnson,Health Care,GRI 402,Social,Labor/Management Relations,Minimum notice periods for operational changes,False,0
Johnson & Johnson,Health Care,GRI 403,Social,Occupational Health & Safety,Management system for health and safety,True,80
Johnson & Johnson,Health Care,GRI 404,Social,Training & Education,Average hours of training per year,True,78
